"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 16 02:25:48 GMT 2022","Wed Mar 16 02:25:48 GMT 2022","502","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_true_expectedToFail","assertFileExists_true_expectedToFail",""
"passed","Wed Mar 16 02:17:39 GMT 2022","Wed Mar 16 02:17:39 GMT 2022","658","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f10","f10",""
"passed","Wed Mar 16 02:24:21 GMT 2022","Wed Mar 16 02:24:23 GMT 2022","1126","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_true_caseInsensitiveComparison_expectedToFail","assertElementAttribute_true_caseInsensitiveComparison_expectedToFail",""
"passed","Wed Mar 16 02:17:40 GMT 2022","Wed Mar 16 02:17:51 GMT 2022","10653","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f11","f11",""
"passed","Wed Mar 16 02:17:24 GMT 2022","Wed Mar 16 02:17:27 GMT 2022","2903","Custom Suite","Custom Test","testPackage01.Test_chainableElementActions","testPackage01.Test_chainableElementActions","chainElementActions","chainElementActions",""
"passed","Wed Mar 16 02:18:57 GMT 2022","Wed Mar 16 02:18:57 GMT 2022","1","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f36","f36",""
"passed","Wed Mar 16 02:18:57 GMT 2022","Wed Mar 16 02:18:57 GMT 2022","1","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f33","f33",""
"passed","Wed Mar 16 02:15:29 GMT 2022","Wed Mar 16 02:15:30 GMT 2022","1444","Custom Suite","Custom Test","testPackage01.Test_dragAndDrop","testPackage01.Test_dragAndDrop","dragAndDropByOffset","TC002 - Test Drag and Drop by offset function.",""
"passed","Wed Mar 16 02:17:38 GMT 2022","Wed Mar 16 02:17:38 GMT 2022","19","Custom Suite","Custom Test","testPackage01.Test_PDF","testPackage01.Test_PDF","testPDF2","testPDF2",""
"failed","Wed Mar 16 02:16:53 GMT 2022","Wed Mar 16 02:17:24 GMT 2022","30600","Custom Suite","Custom Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","acceptPromptAlertWithoutTypingTextMessage","acceptPromptAlertWithoutTypingTextMessage",""
"passed","Wed Mar 16 02:20:29 GMT 2022","Wed Mar 16 02:20:30 GMT 2022","1382","Custom Suite","Custom Test","unitTests.tests_element_elementActions","unitTests.tests_element_elementActions","waitForElementToBePresent_true_expectedToPass","waitForElementToBePresent_true_expectedToPass",""
"passed","Wed Mar 16 02:25:12 GMT 2022","Wed Mar 16 02:25:43 GMT 2022","30815","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementExists_true_expectedToFail","assertElementExists_true_expectedToFail",""
"passed","Wed Mar 16 02:15:31 GMT 2022","Wed Mar 16 02:15:32 GMT 2022","985","Custom Suite","Custom Test","testPackage01.Test_testData","testPackage01.Test_testData","f","f",""
"passed","Wed Mar 16 02:18:58 GMT 2022","Wed Mar 16 02:18:58 GMT 2022","561","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f8","f8",""
"passed","Wed Mar 16 02:15:42 GMT 2022","Wed Mar 16 02:15:45 GMT 2022","3444","Custom Suite","Custom Test","testPackage01.Test_uploadFile","testPackage01.Test_uploadFile","uploadFile_visibleUploadInput","uploadFile_visibleUploadInput",""
"passed","Wed Mar 16 02:20:32 GMT 2022","Wed Mar 16 02:20:33 GMT 2022","309","Custom Suite","Custom Test","unitTests.tests_browserActions","unitTests.tests_browserActions","fullScreenWindow","fullScreenWindow",""
"passed","Wed Mar 16 02:19:31 GMT 2022","Wed Mar 16 02:19:34 GMT 2022","2977","Custom Suite","Custom Test","testPackage01.Test_clipboardActions","testPackage01.Test_clipboardActions","typeTextAndCopyPaste","typeTextAndCopyPaste",""
"passed","Wed Mar 16 02:18:57 GMT 2022","Wed Mar 16 02:18:57 GMT 2022","2","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f37","f37",""
"passed","Wed Mar 16 02:25:47 GMT 2022","Wed Mar 16 02:25:47 GMT 2022","1","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_true_expectedToPass","Assert that assertEquals works as expected when the two values are equal.",""
"passed","Wed Mar 16 02:18:57 GMT 2022","Wed Mar 16 02:18:57 GMT 2022","1","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f6_2","f6_2",""
"passed","Wed Mar 16 02:25:47 GMT 2022","Wed Mar 16 02:25:47 GMT 2022","2","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_false_expectedToPass","assertEquals_false_expectedToPass",""
"passed","Wed Mar 16 02:18:57 GMT 2022","Wed Mar 16 02:18:57 GMT 2022","1","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f29","f29",""
"passed","Wed Mar 16 02:17:31 GMT 2022","Wed Mar 16 02:17:33 GMT 2022","2286","Custom Suite","Custom Test","testPackage01.Test_SelectedValue","testPackage01.Test_SelectedValue","simpleSelect","simpleSelect",""
"passed","Wed Mar 16 02:24:16 GMT 2022","Wed Mar 16 02:24:17 GMT 2022","1131","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_regexComparison_expectedToFail","assertElementAttribute_false_regexComparison_expectedToFail",""
"passed","Wed Mar 16 02:24:11 GMT 2022","Wed Mar 16 02:24:12 GMT 2022","1283","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_literalComparison_expectedToFail","assertElementAttribute_false_literalComparison_expectedToFail",""
"passed","Wed Mar 16 02:18:57 GMT 2022","Wed Mar 16 02:18:57 GMT 2022","1","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f25","f25",""
"passed","Wed Mar 16 02:15:39 GMT 2022","Wed Mar 16 02:15:41 GMT 2022","2749","Custom Suite","Custom Test","testPackage01.Test_uploadFile","testPackage01.Test_uploadFile","uploadFile_invisibleUploadInput","uploadFile_invisibleUploadInput",""
"passed","Wed Mar 16 02:16:52 GMT 2022","Wed Mar 16 02:16:53 GMT 2022","481","Custom Suite","Custom Test","testPackage01.TestJSPromptBox","testPackage01.TestJSPromptBox","getAlertText","getAlertText",""
"passed","Wed Mar 16 02:24:19 GMT 2022","Wed Mar 16 02:24:20 GMT 2022","1288","Custom Suite","Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_regexComparison_expectedToPass","assertElementAttribute_false_regexComparison_expectedToPass",""
"passed","Wed Mar 16 02:18:29 GMT 2022","Wed Mar 16 02:18:55 GMT 2022","25783","Custom Suite","Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f21","f21",""
