1, Test Method "testPackage01.appium.AndroidBasicInteractionsTest.scrollInExpandableLists_horizontalScrolling_insideElement" failed. Please investigate and open a new Issue if needed.
2, Test Method "testPackage01.appium.AndroidBasicInteractionsTest.scrollInExpandableLists_verticalScrolling" failed. Please investigate and open a new Issue if needed.
3, Test Method "testPackage01.appium.AndroidBasicInteractionsTest.scrollInExpandableLists_verticalScrolling_insideElement" failed. Please investigate and open a new Issue if needed.
4, Test Method "testPackage01.appium.AndroidBasicInteractionsTest.scrollToElement_insideScreen" failed. Please investigate and open a new Issue if needed.
