"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 25 10:21:47 UTC 2021","Mon Oct 25 10:21:47 UTC 2021","14","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_false_expectedToPass","assertEquals_false_expectedToPass",""
"skipped","Mon Oct 25 10:22:33 UTC 2021","Mon Oct 25 10:22:33 UTC 2021","1","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f8","f8",""
"skipped","Mon Oct 25 10:22:33 UTC 2021","Mon Oct 25 10:22:33 UTC 2021","7","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f3","f3",""
"skipped","Mon Oct 25 10:22:32 UTC 2021","Mon Oct 25 10:22:32 UTC 2021","7","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f14","f14",""
"passed","Mon Oct 25 10:21:23 UTC 2021","Mon Oct 25 10:21:23 UTC 2021","28","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_io_excelFileManager","unitTests.tests_io_excelFileManager","getCellData_rowName_expectedToPass","getCellData_rowName_expectedToPass",""
"passed","Mon Oct 25 10:21:40 UTC 2021","Mon Oct 25 10:21:41 UTC 2021","1036","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_containsComparison_expectedToPass","assertElementAttribute_false_containsComparison_expectedToPass",""
"skipped","Mon Oct 25 10:21:46 UTC 2021","Mon Oct 25 10:21:46 UTC 2021","10","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertElementAttribute_false_regexComparison_expectedToPass","assertElementAttribute_false_regexComparison_expectedToPass",""
"skipped","Mon Oct 25 10:21:47 UTC 2021","Mon Oct 25 10:21:47 UTC 2021","13","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertFileExists_true_expectedToPass","assertFileExists_true_expectedToPass",""
"skipped","Mon Oct 25 10:22:33 UTC 2021","Mon Oct 25 10:22:33 UTC 2021","6","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f35","f35",""
"skipped","Mon Oct 25 10:22:33 UTC 2021","Mon Oct 25 10:22:33 UTC 2021","13","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f5","f5",""
"passed","Mon Oct 25 10:21:14 UTC 2021","Mon Oct 25 10:21:15 UTC 2021","730","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_browserActions","unitTests.tests_browserActions","refreshCurrentPage","refreshCurrentPage",""
"skipped","Mon Oct 25 10:22:32 UTC 2021","Mon Oct 25 10:22:32 UTC 2021","7","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f18","f18",""
"passed","Mon Oct 25 10:20:45 UTC 2021","Mon Oct 25 10:20:46 UTC 2021","148","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_browserActions","unitTests.tests_browserActions","maximizeWindow","maximizeWindow",""
"skipped","Mon Oct 25 10:22:33 UTC 2021","Mon Oct 25 10:22:33 UTC 2021","2","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f9","f9",""
"skipped","Mon Oct 25 10:22:33 UTC 2021","Mon Oct 25 10:22:33 UTC 2021","2","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_NewValidationHelper","testPackage01.Test_NewValidationHelper","f6_2","f6_2",""
"passed","Mon Oct 25 10:22:33 UTC 2021","Mon Oct 25 10:22:33 UTC 2021","25","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_JsonActions","testPackage01.Test_JsonActions","f","f",""
"passed","Mon Oct 25 10:24:57 UTC 2021","Mon Oct 25 10:24:58 UTC 2021","451","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_google_playwright","testPackage01.Test_google_playwright","clickNextThrice","TC003 - Clicks the next button to make sure that the framework can scroll element into view before clicking it",""
"passed","Mon Oct 25 10:21:23 UTC 2021","Mon Oct 25 10:21:23 UTC 2021","15","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertComparativeRelation_greaterThanOrEquals_true_equals_expectedToPass","assertComparativeRelation_greaterThanOrEquals_true_equals_expectedToPass",""
"skipped","Mon Oct 25 10:21:47 UTC 2021","Mon Oct 25 10:21:47 UTC 2021","8","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertNull_true_expectedToFail","assertNull_true_expectedToFail",""
"broken","Mon Oct 25 10:22:27 UTC 2021","Mon Oct 25 10:22:30 UTC 2021","2474","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_clipboardActions","testPackage01.Test_clipboardActions","typeTextAndCopyPaste","typeTextAndCopyPaste",""
"passed","Mon Oct 25 10:22:00 UTC 2021","Mon Oct 25 10:22:04 UTC 2021","4021","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_uploadFile","testPackage01.Test_uploadFile","uploadFile_visibleUploadInput","uploadFile_visibleUploadInput",""
"passed","Mon Oct 25 10:24:52 UTC 2021","Mon Oct 25 10:24:54 UTC 2021","2205","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_google_playwright","testPackage01.Test_google_playwright","navigateToURLandVerifyGoogleLogoIsDisplayed","TC001 - Navigate to URL and Verify Google Logo is Displayed",""
"passed","Mon Oct 25 10:20:41 UTC 2021","Mon Oct 25 10:20:41 UTC 2021","95","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_browserActions","unitTests.tests_browserActions","getWindowSize","getWindowSize",""
"skipped","Mon Oct 25 10:21:47 UTC 2021","Mon Oct 25 10:21:47 UTC 2021","13","SHAFT: Custom Suite","SHAFT: Custom Test","unitTests.tests_validations_assertions","unitTests.tests_validations_assertions","assertEquals_true_expectedToPass__","assertEquals_true_expectedToPass__",""
"passed","Mon Oct 25 10:22:56 UTC 2021","Mon Oct 25 10:22:56 UTC 2021","16","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.Test_SkipDueToIssue","testPackage01.Test_SkipDueToIssue","skip2","skip2",""
