"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 16 01:58:37 UTC 2021","Tue Nov 16 01:58:47 UTC 2021","9993","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","scrollToElement_insideScreen","scrollToElement_insideScreen",""
"passed","Tue Nov 16 01:59:01 UTC 2021","Tue Nov 16 01:59:14 UTC 2021","13616","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","testSendKeys","testSendKeys",""
"passed","Tue Nov 16 01:58:47 UTC 2021","Tue Nov 16 01:59:01 UTC 2021","13368","SHAFT: Custom Suite","SHAFT: Custom Test","testPackage01.appium.AndroidBasicInteractionsTest","testPackage01.appium.AndroidBasicInteractionsTest","testOpensAlert","testOpensAlert",""
